Eppchs,Batch_Size,NumberOfChannels,Filters,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
200,32,3,25,3,0.001,0.001059056189932006,0.9717544269988927, False
200,32,3,64,3,0.001,0.0009135510304477116,0.974486090385812, False
200,32,3,100,3,0.001,0.0009985031399191925,0.9747956921802963, False
200,32,4,25,3,0.001,0.0005499241367002264,0.985917927477475, False
200,32,4,64,3,0.001,0.0006808983482619946,0.9853172426123838, False
200,32,4,100,3,0.001,0.0005871623615755874,0.98603037987803, False
200,32,5,25,3,0.001,0.0003816365943589205,0.9929362589978563, False
200,32,5,64,3,0.001,0.0005376944958733787,0.9933431572635915, False
200,32,5,100,3,0.001,0.0005525136400496867,0.9940229693681072, False
200,32,6,25,3,0.001,0.0001843602962015403,0.9959483075644269, False
200,32,6,64,3,0.001,0.0002036103578666824,0.9965748714205281, False
200,32,6,100,3,0.001,0.00026834844453418525,0.9970720080168594, False
200,32,7,25,3,0.001,0.00015054155261522975,0.9968156266314261, False
200,32,7,64,3,0.001,0.0007256945737151882,0.9970291217468491, False
200,32,7,100,3,0.001,0.0003211021327483949,0.9968157391443598, False
200,32,8,25,3,0.001,0.0002710235706341474,0.9962657715665513, False
200,32,8,64,3,0.001,0.0004375431647078034,0.9972275950672927, False
200,32,8,100,3,0.001,0.00037025452342587733,0.9970749011569351, False
200,32,2,25,3,0.01,0.00190640046758533,0.9482940382112003, False
200,32,2,64,3,0.01,0.0018101057171936127,0.9481877759748655, False
200,32,2,100,3,0.01,0.0020086872513075753,0.9467045811816934, False
200,32,3,25,3,0.01,0.0024387338363897363,0.9515304485672469, False
200,32,3,64,3,0.01,0.0012603206644126058,0.9639862429721108, False
200,32,3,100,3,0.01,0.0018134188708902857,0.9596787522818883, False
200,32,4,25,3,0.01,0.0008891626579897112,0.9796489255227516, False
200,32,4,64,3,0.01,0.0006451462166837083,0.9824575476700963, False
200,32,4,100,3,0.01,0.000754341811681695,0.9791660640661465, False
200,32,5,25,3,0.01,0.0004012208583008757,0.9899696862015227, False
200,32,5,64,3,0.01,0.0008252027057695608,0.9903003991180722, False
200,32,5,100,3,0.01,0.0003211148302624525,0.9926953040939059, False
200,32,6,25,3,0.01,0.0004182000679801752,0.9950507059036782, False
200,32,6,64,3,0.01,0.00019148266389513955,0.9957542958223008, False
200,32,6,100,3,0.01,0.0001677220098525157,0.9954299306715315, False
200,32,7,25,3,0.01,0.00033064632689274457,0.9959691781437842, False
200,32,7,64,3,0.01,0.00027414276517717315,0.9958047915350217, False
200,32,7,100,3,0.01,0.00018998854390617518,0.9946368537507793, False
200,32,8,25,3,0.01,0.0002447978943638396,0.9937485609939531, False
200,32,8,64,3,0.01,0.0003429372338069181,0.9966140413943181, False
200,32,8,100,3,0.01,0.00029578411380293355,0.9918342980810757, False
200,32,2,25,3,0.1,0.01763934165959799,nan, False
200,32,2,64,3,0.1,0.004688380070243984,0.8649448790216223, False
200,32,2,100,3,0.1,0.010096542782495867,0.8118297622426055, False
